sample	JF21	Nax11	Nax17	Nax30UA	Nax38	Nax40LA	Nax40UA	Nax43	Nax47	Nax49	Nax50LA	Nax50UA	Nax51	Nax55	Nax56	Nax68	S1124	Sal21	Sal45	Sal58	Sal66	Sal74	Sal78	Sal84	Sal87LA	Sal87UA	new_id
T790M_III-1_T2	-0.01902913390667882	-0.15662476671681658	0.003559567686962417	0.004254912497164032	-0.4148147362866279	-0.016344316282559834	0.09630232213779744	-0.005616718491750161	-0.076219182330302	0.36175909916385107	-0.009196113919891946	0.036150990797158666	0.07249978368749055	-0.007299250319796169	0.07764080004917684	-0.006172215833179173	-0.13098793886412352	0.011684868957259287	0.009212019008649097	0.027473370618455117	-0.04165260281811145	0.016423591787872782	0.009648513778240275	-0.12436395904895603	-0.007162444961277714	-0.01296216995505306	T790M_III-1_T2
T790M_III-1_T3	0.011774160820467117	-0.1810584609921997	0.0034035486696253336	0.04033588928685283	-0.11004586007336759	-0.004430903964638855	0.08440508978188266	-0.004333479846223565	-0.06282174883617397	0.38332059144330843	0.0012935222918168954	0.037049185717515254	0.04811635180301188	0.02744577483314803	0.11375794195211553	0.00865150288047234	-0.06030789716921836	0.02485714631521585	0.029142906590417628	-0.02376961618574569	-0.012657073614924297	-0.016983500208984426	0.0012475746141045185	-0.12553802413587567	0.005688065337688286	-0.006460760862763593	T790M_III-1_T3
T790M_III-1_T4	-0.010462813805244942	-0.15059248701858952	0.012820878349439013	0.07656763724016757	-0.22649740599520474	-0.007710456991385062	0.10823574143788672	0.011603750153780457	-0.06080204059172534	0.3335722520030253	0.00841661058184684	0.010871021298146655	0.03470885143419711	0.016147894280060804	0.18043491032143866	0.01063926265974846	-0.05032060091424606	0.03018825114086887	0.05150533634687804	-0.02590230915484515	-0.009802443048859022	-0.02426222926777455	0.003401122180613836	-0.029273248740459223	0.007404966887303299	0.0049368474874982304	T790M_III-1_T4
T790M_III-1_T5	-0.19732998721185346	0.12735349312560196	-0.023997780321988404	-0.126574743553185	0.23097109940670624	-7.321323570472771e-4	0.12712157120830536	0.011385590987665228	-0.07065916858421861	0.5277546482879956	-0.013259990691584456	0.03317227647266252	-0.10488092661044757	0.012562152498811319	0.2187392845923264	0.06888453349165102	0.02450629635271362	0.027099307590600752	0.20810230558418885	0.7164816997411654	-0.02004741385475617	-0.06404710196037922	-8.971971202367257e-4	-0.20187421330070165	0.012186427414386358	0.08802189800162585	T790M_III-1_T5
T790M_III-1_T6	0.018144117064406995	-0.12413507998728379	0.005959721672092577	0.08532794950427958	-0.09475508806420052	-0.008954338712610976	0.10748090031046065	0.004233807820607449	-0.08381094905189901	0.3603491674644217	0.004228972307510848	0.04522318661148583	0.06421281823694436	0.031360649412849995	0.17300314771184722	0.027910901239666774	-0.012290960253216188	0.024937678725160506	0.03737697535277906	-0.0826312512013132	0.0050309204493301785	0.032282744060333046	6.341659363151564e-5	-0.16672554182258326	0.011160923210279616	0.009648306006012852	T790M_III-1_T6
T790M_III-1_T7	-0.14100668252394932	-0.03994140464081619	-0.04977371577425482	-0.004518101863453694	0.3325288495020198	-0.02015685504343878	0.05439991549872403	-0.005786969153108501	0.01702797576941162	0.5204626210077565	-0.02275970295137597	-0.0026612476421115083	-0.16882564967617864	-0.01180459581580351	0.1391495586477678	0.06823530673839917	0.029239141136370606	0.013040496832713355	0.2266274385230429	0.727774426140309	-0.045094488530716514	-0.04198337478930969	-0.010762618092369003	-0.1633460574051746	-0.001546497294241167	-0.04793724196039184	T790M_III-1_T7
T790M_III-1_T8	-0.15024063498109275	-0.061194671314371174	-0.044690063885831854	-0.03918216094146176	0.3284332940983825	-0.007259267509576617	0.024650126450929122	-0.0018008547597712088	-0.03811838328834316	0.5549733953734588	-0.02418959312018787	-0.03469098099828383	-0.13145625200170752	-0.022753289103764285	0.11195287426327694	0.014640488119453732	-0.016143311259638082	-0.0030825354130827876	0.17027038178596632	0.5894988740806557	-0.05341985469171329	0.0011529761243240788	-0.008533153187800568	-0.13705631568406051	-0.00467687436432529	-0.03370730851699788	T790M_III-1_T8
T790M_III-1_T9	-0.10142224326237947	-0.11938303335652112	-0.036679863859930606	0.007476511187725077	0.03926237703310065	-0.0044530478919342364	0.1025314537545512	0.004754317725638613	-0.027235051077923345	0.5084024367807896	-0.017361686898900608	-0.028874969600759748	-0.20380955246941745	-0.013363054197613522	0.12366313851259036	0.014577743512407704	-0.08974836065450598	0.030280547784242717	0.13210360036609758	0.44067057586813796	-0.0479264143251914	-0.004567618813418939	0.00758480495146463	-0.017903743694648977	0.00389874809073687	-0.02166688526501437	T790M_III-1_T9
T790M_III-1_T10	-0.20256297571691695	-0.14467488004357865	-0.054013961920118536	-0.009223981160842776	0.30852020679910463	0.0036401219829982345	0.08410703696605593	-0.003988064817769921	-0.01703508852670854	0.5170721685268216	-0.017675750511655153	-0.026208728287121286	-0.13024776450366637	-0.020303832170487812	0.09893094834982685	0.03526806320514364	-0.12315326220456857	-0.014616482528221564	0.16868133256060158	0.639337501046942	-0.06558899944298613	0.04608000214692498	-0.009129401823873007	-0.3458416988392927	-0.007518699675466589	-0.029512954663117874	T790M_III-1_T10
T790M_III-1_T11	-0.12620021851264118	-0.11423752401342613	-0.040277491789230346	-0.01471445865119625	0.34727502973435964	-0.0059246419709011455	0.08088136331447204	3.703835045369974e-4	0.004211847760749343	0.5043466857044088	-0.009288552128476457	3.2234441340595055e-5	-0.10149758872359271	0.008722078386038667	0.1807368375307652	0.010729708487046796	-0.03064902580204043	0.007295986023446499	0.18193405261654005	0.48627118588385265	-0.059011930339129215	0.01841142004007712	-0.0058322943651649695	-0.13570346421983936	0.004006655929169156	0.0033801092016250145	T790M_III-1_T11
T790M_III-1_T12	-0.25155853672272555	-0.05255806785208739	-0.05039732709481659	-0.2005001185280353	0.35719700819065814	-0.006950112160878152	0.05825009916081525	-1.5879853968248092e-4	0.054317253505360874	0.5377768236640943	-0.015621015006427097	-0.011789776504636862	-0.14163238583694415	0.011915245287712928	0.18918725831272187	0.007849330419279266	-0.002244441447918355	0.011072453609504151	0.23373340813483656	0.6773030795194788	-0.03456456945490505	-0.05964909430187881	-0.013793979896646213	-0.14961902727492227	-0.008171177096316207	-0.009881077609427358	T790M_III-1_T12
T790M_III-1_T13	-0.18968114773765654	-0.10398647576077957	-0.045754579777758764	0.012990385793707926	0.17667140717021557	0.0038838797692131166	0.07989137752109698	-3.7944802065825733e-4	0.016676075934635826	0.5231299437992267	-0.008502368711906794	-0.01998656495895501	-0.22893758483387572	0.0111757205670866	0.1497109077664458	0.020312948880139015	0.024846268017792994	-0.012953779032752522	0.21644679577761838	0.7272718639813052	-0.023959450779242886	-0.020077085037026876	-0.003563594998717612	-0.07927680491650513	0.0037052377632900146	-0.017774509931505644	T790M_III-1_T13
T790M_III-1_N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	T790M_III-1_N
